,Chemical Name,PC1,PC2,Spin Splitting Energy (kcal/mol)
208,Mn(II)(en)1(mebipyridine)2,5.709634826450868,-1.9983133201063596,-27.38678271
209,Cr(II)(methylamine)4eq(misc)ax1(misc)ax2,0.2628284439524615,-1.1410343447723688,-36.12414994
210,Fe(II)(tbisc)2eq(tbisc)ax1(tbisc)ax2,2.4097089664751947,1.5568833687700874,8.610418416
211,Fe(III)(tbisc)2eq(tbisc)ax1(tbisc)ax2,2.402693162354973,1.6436269988361676,18.09952163
212,Mn(III)(en)1(ethbipyridine)2,6.465273856518233,-1.6398872057287126,-36.84063401
213,Mn(II)(en)1(ethbipyridine)2,6.472289660638454,-1.7266308357947926,-27.35635766
214,Cr(III)(acac)1(tbuc)2,4.613744901976691,1.352436374192125,-22.86770396
215,Fe(II)(isothiocyanate)4eq(misc)ax1(misc)ax2,-0.35775321709112196,1.812335572015467,1.9255024840000001
216,Fe(III)(isothiocyanate)4eq(misc)ax1(misc)ax2,-0.36476902121134347,1.8990792020815477,3.670555701
217,Mn(II)(carbonyl)4eq(misc)ax1(misc)ax2,-0.9537296230429595,-2.090076661687248,6.125481047
218,Mn(III)(carbonyl)4eq(misc)ax1(misc)ax2,-0.9607454271631812,-2.003333031621167,-28.23042424
219,Mn(II)(misc)4eq(pyridine)ax1(pyridine)ax2,1.4727771359667585,-2.293009785470994,-4.523251252
220,Mn(III)(misc)4eq(pyridine)ax1(pyridine)ax2,1.4657613318465375,-2.206266155404914,-23.83985448
221,Mn(II)(tbisc)4eq(methylamine)ax1(methylamine)ax2,-2.263517893554843,-3.3962385515573668,-5.560203232999999
222,Mn(III)(tbisc)4eq(methylamine)ax1(methylamine)ax2,-2.2705336976750647,-3.3094949214912877,-29.59382405
223,Co(III)(benzisc)2eq(benzisc)ax1(benzisc)ax2,1.816911062397896,2.9704248272176255,23.42967198
224,Co(II)(benzisc)2eq(benzisc)ax1(benzisc)ax2,1.823926866518118,2.8836811971515455,-5.733541123999999
225,Fe(III)(en)1(phen)2,4.753859985572084,2.213272179638708,11.4916515
226,Co(II)(methylamine)2eq(methylamine)ax1(methylamine)ax2,-2.007690162441532,1.121087271072787,-9.260820906000001
227,Co(III)(methylamine)2eq(methylamine)ax1(methylamine)ax2,-2.0147059665617535,1.2078309011388682,27.89576044
228,Mn(III)(tbisc)4eq(cyanopyridine)ax1(cyanopyridine)ax2,2.36276446843161,-2.0475479498757165,-22.70795146
229,Mn(II)(tbisc)4eq(cyanopyridine)ax1(cyanopyridine)ax2,2.369780272551832,-2.134291579941798,-6.1054232079999995
230,Mn(II)(phenisc)4eq(pyridine)ax1(pyridine)ax2,2.0386159104233323,-2.2270154528360653,-2.789065307
231,Mn(III)(phenisc)4eq(pyridine)ax1(pyridine)ax2,2.031600106303111,-2.140271822769985,-17.03180863
232,Fe(II)(methylamine)4eq(phenisc)ax1(phenisc)ax2,-0.08586457608870203,1.2724639742294563,3.2046125780000003
233,Fe(III)(methylamine)4eq(phenisc)ax1(phenisc)ax2,-0.09288038020892367,1.3592076042955374,6.3307140539999995
234,Co(III)(bipy)1(phen)2,6.1012571410657745,2.6107916356454393,33.52520351
235,Co(II)(bipy)1(phen)2,6.108272945185996,2.524048005579358,64.49405869
