,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
618,MOF_net-ssa_node1-N41_node2-orgN13_edge1-E6.cif,96.033670564,12.7998910022,810.6928859979,108.0535661721
619,MOF_net-ptr_node1-N73_node2-orgN18_edge1-E14.cif,100.2438131116,8.9601226831,1020.5189052112,91.2173460609
620,MOF_net-pyr_node1-N36_node2-orgN17_edge1-none.cif,72.0504098388,41.8319238652,345.2054654001,200.4236863992
621,MOF_net-rtl_node1-N28_node2-orgN5_edge1-E1.cif,95.3892894229,12.974343832,835.5094448143,113.6415511371
622,MOF_net-ptr_node1-N74_node2-orgN21_edge1-E2.cif,69.945566625,13.1212277909,616.2773436489,115.6086911373
623,MOF_net-ptr_node1-N10_node2-orgN21_edge1-E0.cif,109.6810550928,10.732887884,1029.9657129642,100.7877478229
624,MOF_net-ptr_node1-N74_node2-orgN1_edge1-E1.cif,104.9416662182,10.1263035853,978.3345166967,94.403993009
625,MOF_net-nom_node1-N10_node2-orgN20_edge1-E7.cif,111.133200807,10.1047315894,1041.080808636,94.6597601595
626,MOF_net-ptr_node1-N78_node2-orgN18_edge1-E0.cif,104.8555268505,10.8169160057,980.3544387749,101.1335495476
627,MOF_net-ptr_node1-N73_node2-orgN18_edge1-E10.cif,69.9631292414,12.6127888183,623.9459846499,112.4835184442
628,MOF_net-sqc_node1-N77_node2-orgN18_edge1-none.cif,116.5733508825,76.3628420896,312.9562349345,205.0059243244
629,MOF_net-tbo_node1-N83_node2-orgN18_edge1-E7.cif,130.2738085252,7.9840144245,1333.110228708,81.7015439706
630,MOF_net-ptr_node1-N18_node2-orgN21_edge1-E2.cif,73.0232036693,13.2437357864,636.6861362925,115.4715562212
631,MOF_net-ctn_node1-N78_node2-orgN2_edge1-E0.cif,91.313318826,10.9714299089,886.1798005268,106.4758098069
632,MOF_net-ptr_node1-N42_node2-orgN18_edge1-E7.cif,100.449494206,11.4193217102,895.7046087816,101.8256902719
633,MOF_net-zzz_node1-N17_node2-orgN9_edge1-E15.cif,81.3435419815,18.6042999241,661.750967928,151.3508409214
634,MOF_net-wbl_node1-N55_node2-orgN19_edge1-E1.cif,124.1546725389,9.4161626449,1196.8682937307,90.7731162088
635,MOF_net-zzz_node1-N43_node2-orgN8_edge1-E1.cif,83.7401877042,28.629435997,439.8211949867,150.3678591751
636,MOF_net-nom_node1-N79_node2-orgN20_edge1-none.cif,81.4598937615,13.0734779182,707.9334082706,113.6160551307
637,MOF_net-eea_node1-N47_node2-orgN2_edge1-E15.cif,105.7086197011,10.2039213164,982.5218427218,94.8416089731
638,MOF_net-bwt_node1-N83_node2-orgN3_edge1-E15.cif,97.0360181537,9.4854827986,963.9738271621,94.2305478921
639,MOF_net-cml_node1-N61_node2-orgN8_edge1-E7.cif,76.4211142644,19.8948330424,554.472448205,144.3467147771
640,MOF_net-pts_node1-N79_node2-orgN1_edge1-E9.cif,104.9105016353,8.833451303,1075.5868750492,90.5642822672
641,MOF_net-ftw_node1-N27_node2-orgN19_edge1-E7.cif,83.8310389931,25.9936220682,513.1817033339,159.1230576285
642,MOF_net-eea_node1-N45_node2-orgN8_edge1-E1.cif,87.5218685891,15.4631155822,642.9824032101,113.6003078822
643,MOF_net-ptr_node1-N73_node2-orgN20_edge1-E14.cif,109.6911098137,8.8957918628,1085.3243205114,88.0182475619
644,MOF_net-eea_node1-N45_node2-orgN9_edge1-E0.cif,78.6117515119,20.0143396157,552.0337947191,140.5463131706
645,MOF_net-ptr_node1-N78_node2-orgN21_edge1-E5.cif,92.6114785895,11.0572818779,888.9368156881,106.1339813641
646,MOF_net-ptr_node1-N78_node2-orgN20_edge1-E7.cif,107.7462522341,10.1200876817,1011.2457541899,94.9814539989
647,MOF_net-eea_node1-N20_node2-orgN17_edge1-E13.cif,115.5470066264,8.6406396574,1190.406009724,89.0189168573
648,MOF_net-csq_node1-N77_node2-orgN10_edge1-E13.cif,99.3121139379,14.0417949952,854.0373854056,120.752820664
649,MOF_net-anh_node1-N14_node2-orgN8_edge1-E1.cif,78.4564059069,17.2143611314,594.2050841849,130.3763636254
650,MOF_net-pth_node1-N42_node2-orgN19_edge1-E9.cif,105.1814616835,9.1753104633,1080.6470193426,94.2682459909
651,MOF_net-ptr_node1-N42_node2-orgN10_edge1-E3.cif,80.5725727873,20.8757162455,534.085468396,138.3773200158
652,MOF_net-ssa_node1-N41_node2-orgN19_edge1-E3.cif,101.0673735722,11.9552205917,909.4113430273,107.5739165887
653,MOF_net-eea_node1-N49_node2-orgN23_edge1-E13.cif,101.066816802,10.6197726785,997.3933193063,104.8028488208
654,MOF_net-ptr_node1-N73_node2-orgN19_edge1-E0.cif,119.8934249597,9.2152922506,1164.5133161503,89.5072481388
655,MOF_net-ptr_node1-N18_node2-orgN19_edge1-E14.cif,121.8739478107,8.2889441021,1262.3754282291,85.8572282953
656,MOF_net-ptr_node1-N18_node2-orgN10_edge1-E13.cif,124.7618729301,9.0039793708,1239.3927337627,89.4461292147
657,MOF_net-ptr_node1-N78_node2-orgN10_edge1-E0.cif,95.6565521623,13.6369021907,807.086271971,115.0590973808
658,MOF_net-pth_node1-N73_node2-orgN19_edge1-E7.cif,92.4765758363,11.0502250847,873.9220876047,104.4268311967
659,MOF_net-wbl_node1-N42_node2-orgN19_edge1-E8.cif,104.5506152897,9.529144798,1045.0336113975,95.248378732
660,MOF_net-ptr_node1-N78_node2-orgN1_edge1-E5.cif,83.2329351886,12.80641244,736.9072878724,113.38226433
661,MOF_net-ptr_node1-N79_node2-orgN19_edge1-E7.cif,135.9283133077,8.6375525651,1335.5414121681,84.8668601101
662,MOF_net-ptr_node1-N78_node2-orgN19_edge1-E14.cif,117.6250341391,8.4076229656,1221.6919160852,87.3243105583
663,MOF_net-ctn_node1-N79_node2-orgN2_edge1-E13.cif,148.6120723129,7.5667133255,1575.8020950544,80.233338553
664,MOF_net-csq_node1-N77_node2-orgN18_edge1-E15.cif,100.7529800316,12.2592985597,912.3539362988,111.0122925766
665,MOF_net-eea_node1-N21_node2-orgN17_edge1-E8.cif,95.3949781577,10.220294084,931.7507324714,99.8246100867
666,MOF_net-pth_node1-N42_node2-orgN19_edge1-E5.cif,86.3231502429,12.6221673805,794.7197287941,116.2038851592
667,MOF_net-eea_node1-N43_node2-orgN5_edge1-E7.cif,78.5271797851,16.3930669021,592.0218468979,123.5884666969
668,MOF_net-ssa_node1-N41_node2-orgN21_edge1-E10.cif,77.7525381443,14.5841893139,645.3482419863,121.0491793471
669,MOF_net-ptr_node1-N78_node2-orgN20_edge1-E13.cif,142.4881477518,8.0786729201,1454.5597882299,82.4694050504
670,MOF_net-dag_node1-N61_node2-orgN26_edge1-E7.cif,95.774190847,15.5612829503,758.1627841694,123.1854375646
671,MOF_net-csq_node1-N77_node2-orgN15_edge1-E7.cif,97.1078723659,25.4908117771,565.0083750115,148.3146709842
672,MOF_net-pth_node1-N10_node2-orgN19_edge1-E9.cif,117.75589885,9.1079406904,1210.3733998344,93.617468395
673,MOF_net-eea_node1-N45_node2-orgN8_edge1-E8.cif,73.7282168709,17.3520234137,561.7791755497,132.2153962371
674,MOF_net-ptr_node1-N10_node2-orgN18_edge1-E14.cif,104.9142652464,9.1298420291,1080.2879763281,94.0087465386
675,MOF_net-eea_node1-N21_node2-orgN3_edge1-E13.cif,103.3574929461,9.5249201445,1027.9438583607,94.7302695221
676,MOF_net-ptr_node1-N29_node2-orgN21_edge1-E7.cif,112.9758394152,11.3495843233,1003.4578753549,100.807657904
677,MOF_net-bwt_node1-N83_node2-orgN8_edge1-E14.cif,66.1179346876,11.8820210911,624.4001787137,112.21064493
678,MOF_net-eea_node1-N45_node2-orgN17_edge1-E7.cif,86.8949691053,12.344117653,750.0713591522,106.5535692213
679,MOF_net-ptr_node1-N10_node2-orgN10_edge1-E7.cif,98.2010576719,13.576757848,826.3682197701,114.2492909859
680,MOF_net-eea_node1-N58_node2-orgN14_edge1-E1.cif,107.8795842051,10.1462042333,1016.4634991314,95.5996107502
