index,name,KR,KV,KVRH,GR,GV,GVRH,Unnamed: 0,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework),wc cm3/g
1405,optimized_MOF_net-afi_node1-N29_edge1-E1,1.9268194038241644,2.017323722825884,1.9720715633250243,0.1695482369380788,0.22334473490263587,0.19644648592035727,1601,MOF_net-afi_node1-N29_edge1-E1.cif,99.43479702479999,11.7828477522,891.92670239,105.69173825280001,792.4919053652
1406,optimized_MOF_net-ana_node1-N10_edge1-E15,0.5253311268279148,0.5301488174696414,0.5277399721487781,0.14488241094513415,0.14959957670753884,0.14724099382633649,4220,MOF_net-ana_node1-N10_edge1-E15.cif,93.5763053156,10.2296408011,926.036749095,101.2331410171,832.4604437794001
1407,optimized_MOF_net-unl_node1-N10_edge1-E8,0.5996907227011896,0.7261714580054114,0.6629310903533006,0.2895094137094097,0.5126369715414894,0.4010731926254496,3093,MOF_net-unl_node1-N10_edge1-E8.cif,67.1513695276,15.110580983599998,629.2157021106,141.5878021522,562.064332583
1408,optimized_MOF_net-why_node1-N28_edge1-E13,2.9614647833581738,3.042445585993746,3.00195518467596,0.5481960059214812,0.9093032162846448,0.7287496111030631,2580,MOF_net-why_node1-N28_edge1-E13.cif,82.85896746569999,15.6350097208,702.9623303980001,132.6449412209,620.1033629323001
1409,optimized_MOF_net-unv_node1-N10_edge1-E15,0.472049367925065,0.47615607103374696,0.474102719479406,0.18606348220822952,0.21069624718243293,0.19837986469533125,135,MOF_net-unv_node1-N10_edge1-E15.cif,87.3997046595,10.819524658199999,847.9165783883,104.9666513597,760.5168737288
1410,optimized_MOF_net-unl_node1-N10_edge1-E0,6.62440701429102,6.65774818847484,6.64107760138293,4.2584992599688185,4.384449079377603,4.321474169673212,810,MOF_net-unl_node1-N10_edge1-E0.cif,74.4409150458,19.8768515227,593.0788256686,158.3610270215,518.6379106228
1411,optimized_MOF_net-unl_node1-N10_edge1-E5,0.9132508258095924,1.0772834381019312,0.9952671319557618,0.5000163598319339,0.8595966746065553,0.6798065172192447,1868,MOF_net-unl_node1-N10_edge1-E5.cif,69.1690675054,21.8049551348,538.6731595031,169.81209229659999,469.5040919977
1412,optimized_MOF_net-unb_node1-N10_edge1-E1,0.9965969903243272,1.0345443094160336,1.0155706498701804,0.0657395869244696,0.15528770287183108,0.11051364489815034,2442,MOF_net-unb_node1-N10_edge1-E1.cif,88.4574350826,12.5863509104,798.9923131075,113.68629011290001,710.5348780249
1413,optimized_MOF_net-uos_node1-N10_edge1-E8,0.9586796218516652,1.6034222615645437,1.2810509417081044,0.2554025098877669,0.3067081257565011,0.281055317822134,2876,MOF_net-uos_node1-N10_edge1-E8.cif,73.2545395254,11.6022467006,729.1469860476,115.4842180152,655.8924465222
1414,optimized_MOF_net-unl_node1-N10_edge1-E3,1.5683801349970174,1.7273668203787578,1.6478734776878876,0.9829023203135596,1.4008457937299548,1.1918740570217572,1,MOF_net-unl_node1-N10_edge1-E3.cif,64.3449602578,27.4415235433,418.18894583639997,178.3471736829,353.8439855786
1415,optimized_MOF_net-lcs_node1-N29_edge1-E13,2.3027654769017767,2.4099878462018034,2.3563766615517903,0.14100481314894167,0.19683066392937515,0.16891773853915842,1048,MOF_net-lcs_node1-N29_edge1-E13.cif,92.26364082049999,10.2789333099,923.6806744698,102.9056730048,831.4170336493
1416,optimized_MOF_net-wge_node1-N86_edge1-E8,1.7290832954501336,2.065440696848923,1.8972619961495285,0.20304304083567146,0.26923346586028024,0.23613825334797586,4633,MOF_net-wge_node1-N86_edge1-E8.cif,84.7466379023,16.4570823458,676.6182545345,131.39355857799998,591.8716166322
1417,optimized_MOF_net-lcs_node1-N29_edge1-E15,3.2839471163321936,3.2982280767101937,3.291087596521194,0.22233050248109096,0.2315703717716374,0.2269504371263642,3279,MOF_net-lcs_node1-N29_edge1-E15.cif,93.19610570969999,11.079376702000001,888.2776186658999,105.6005750262,795.0815129562
1418,optimized_MOF_net-unl_node1-N10_edge1-E14,0.6456538361585286,0.7327573655343783,0.6892056008464534,0.3349792526015595,0.5106178588748272,0.42279855573819336,4874,MOF_net-unl_node1-N10_edge1-E14.cif,61.51247886149999,14.553251488599999,588.8729455129001,139.3215853028,527.3604666514001
1419,optimized_MOF_net-uos_node1-N10_edge1-E15,0.6456538361585286,0.7327573655343783,0.6892056008464534,0.3349792526015595,0.5106178588748272,0.42279855573819336,1740,MOF_net-uos_node1-N10_edge1-E15.cif,93.0469074258,10.1054191198,926.7908347388001,100.6547136333,833.7439273130001
1420,optimized_MOF_net-ana_node1-N10_edge1-E13,0.4694653496419422,0.5027349893807439,0.4861001695113431,0.13064687129132005,0.13565697410838698,0.13315192269985351,1801,MOF_net-ana_node1-N10_edge1-E13.cif,93.6569014733,9.6537284494,958.4357780588,98.7912112401,864.7788765855
1421,optimized_MOF_net-ana_node1-N10_edge1-E8,0.8652865719327806,0.8941663296117307,0.8797264507722556,0.26418527637326505,0.2730455155012209,0.2686153959372429,4839,MOF_net-ana_node1-N10_edge1-E8.cif,73.9254604601,11.9061377818,720.9873577916001,116.11932840690001,647.0618973315001
1422,optimized_MOF_net-umk_node1-N29_edge1-E15,1.364440951998848,1.6937813725438564,1.5291111622713522,0.1341918977804014,0.17130289372270324,0.15274739575155233,3139,MOF_net-umk_node1-N29_edge1-E15.cif,108.1578242627,9.5440710952,1064.9024576644001,93.9692050451,956.7446334017001
1423,optimized_MOF_net-uos_node1-N10_edge1-E13,0.455702920266916,0.8687309545816015,0.6622169374242588,0.1360507774112223,0.1699801863297114,0.15301548187046685,4052,MOF_net-uos_node1-N10_edge1-E13.cif,99.01142301959999,9.184297328,1027.5693542203999,95.3173097249,928.5579312007999
1424,optimized_MOF_net-unl_node1-N10_edge1-E15,0.41954916546742654,0.4285215399350085,0.4240353527012175,0.10679166583061887,0.27880980861282545,0.1928007372217221,1016,MOF_net-unl_node1-N10_edge1-E15.cif,81.3645104729,12.431626341,774.3205530553,118.3078928116,692.9560425824001
1425,optimized_MOF_net-ukr_node1-N10_edge1-E3,0.17221582878823435,0.17271718495911914,0.17246650687367676,0.3986761784718564,0.4600664015921223,0.42937129003198937,4714,MOF_net-ukr_node1-N10_edge1-E3.cif,58.9936231527,12.1549924117,546.3119755064,112.5616221183,487.3183523537
1426,optimized_MOF_net-ukr_node1-N10_edge1-E14,0.2531251368844005,0.25387158447732794,0.2534983606808642,0.18211761998018805,0.1884034757938129,0.18526054788700047,2726,MOF_net-ukr_node1-N10_edge1-E14.cif,74.1741028391,9.9897774066,738.8169226316,99.5039551386,664.6428197925001
1427,optimized_MOF_net-srs-g_node1-N86_edge1-E2,0.4020160346490795,0.4066332569196341,0.4043246457843568,0.27833030650596763,0.2937211909585261,0.28602574873224684,37,MOF_net-srs-g_node1-N86_edge1-E2.cif,86.50211896260001,16.0863058644,541.1169172963,100.62842788620001,454.61479833370004
1428,optimized_MOF_net-uos_node1-N29_edge1-E8,2.498376642212171,3.7502991797309178,3.124337910971545,0.2459713653393381,0.3874544913737958,0.3167129283565669,1992,MOF_net-uos_node1-N29_edge1-E8.cif,74.7668288679,13.199969250699999,697.8214472966,123.1993089216,623.0546184287
1429,optimized_MOF_net-ukx_node1-N29_edge1-E2,4.015272531321447,4.021071843681327,4.018172187501387,0.9294384976830612,1.198746643613506,1.0640925706482838,2930,MOF_net-ukx_node1-N29_edge1-E2.cif,66.6069718713,29.349175475,388.6363241921,171.2456722503,322.0293523208
1430,optimized_MOF_net-uos_node1-N29_edge1-E13,2.3470638123057035,2.630473169402336,2.4887684908540195,0.054465683888900655,0.2434374400574941,0.1489515619731974,1303,MOF_net-uos_node1-N29_edge1-E13.cif,94.3637462975,10.1177794702,942.521427617,101.05813222479999,848.1576813194999
1431,optimized_MOF_net-srs-g_node1-N86_edge1-E14,0.1758909875716214,0.177663512164175,0.1767772498678982,0.11426417043805585,0.1245779521863292,0.11942106131219253,4239,MOF_net-srs-g_node1-N86_edge1-E14.cif,109.4833942675,10.136481773,986.0537886002,91.2934452045,876.5703943327001
1432,optimized_MOF_net-ukw_node1-N29_edge1-E14,1.4605807836981344,1.4650236391908864,1.4628022114445105,0.7320911409472812,0.7404623201987502,0.7362767305730158,1579,MOF_net-ukw_node1-N29_edge1-E14.cif,64.76057486890001,14.6884466728,595.1744826880999,134.9924497686,530.4139078192
1433,optimized_MOF_net-ukw_node1-N29_edge1-E3,4.2194801674174265,4.220968546447751,4.220224356932589,2.0489918309204773,2.0691385071839727,2.059065169052225,407,MOF_net-ukw_node1-N29_edge1-E3.cif,66.655525358,28.244732416999998,435.4624254464,184.52363278689998,368.80690008839997
1434,optimized_MOF_net-wkj_node1-N58_edge1-E1,1.197174922631589,1.5731485262134293,1.3851617244225092,0.8946782100354409,1.0191911223844752,0.956934666209958,5070,MOF_net-wkj_node1-N58_edge1-E1.cif,78.1809162795,21.03421132,483.1334580385,129.9848062129,404.95254175900004
1435,optimized_MOF_net-ukw_node1-N29_edge1-E8,1.4842191250751304,1.4929425242239605,1.4885808246495449,0.7601503490192287,0.8160639198837015,0.7881071344514652,4430,MOF_net-ukw_node1-N29_edge1-E8.cif,72.07333745359999,15.5607300425,640.6440627643,138.3159107965,568.5707253107
1436,optimized_MOF_net-lcy-e_node1-N58_edge1-E15,1.7534463285125503,1.7760566618553375,1.764751495183944,0.4592717042212458,0.8249280194721688,0.6420998618467073,415,MOF_net-lcy-e_node1-N58_edge1-E15.cif,73.7247036377,12.978228199,659.5600014897,116.1065394351,585.8352978519999
1437,optimized_MOF_net-yfu_node1-N86_edge1-E15,5.468309252161636,5.504221529009955,5.486265390585794,5.0161096857358825,5.6286252417518865,5.322367463743887,5047,MOF_net-yfu_node1-N86_edge1-E15.cif,90.61639540610001,14.1807908627,761.0283098386,119.09526144879999,670.4119144325
1438,optimized_MOF_net-ukx_node1-N29_edge1-E5,2.6097516458812,2.6155433538331403,2.61264749985717,0.6299961441582993,0.8436506562402879,0.7368234001992936,4549,MOF_net-ukx_node1-N29_edge1-E5.cif,76.6563683846,19.5637003007,579.3118473452,147.8479035853,502.6554789606
1439,optimized_MOF_net-uos_node1-N29_edge1-E0,3.406627749836232,3.6330884819257747,3.5198581158810027,0.23056886670341525,0.4850442163665562,0.3578065415349857,92,MOF_net-uos_node1-N29_edge1-E0.cif,82.04581328340001,17.4865697202,654.2472024733,139.4408667846,572.2013891899
1440,optimized_MOF_net-lta_node1-N29_edge1-E1,1.3491151869276308,1.3959087681742255,1.3725119775509282,0.1924388241828554,0.2263265247649817,0.20938267447391856,2275,MOF_net-lta_node1-N29_edge1-E1.cif,101.1750170221,10.9492469197,924.1729521817999,100.0147877193,822.9979351597
1441,optimized_MOF_net-yfm_node1-N86_edge1-E13,0.931257203798227,1.4157367825432945,1.1734969931707608,0.2688555396986749,0.3101765503959783,0.2895160450473266,3732,MOF_net-yfm_node1-N86_edge1-E13.cif,94.62929816540002,11.7496895707,875.9922983988,108.7679796013,781.3630002334
1442,optimized_MOF_net-yfu_node1-N86_edge1-E0,0.9489800648216868,1.4772594401566377,1.2131197524891622,0.4054006691485342,0.7062120120848562,0.5558063406166952,4161,MOF_net-yfu_node1-N86_edge1-E0.cif,82.6489013583,21.7389561288,552.6695432002,145.367436904,470.0206418419
